# Copyright -- Anthony-- 2022_v02
# Energy,# 2 xmax ,# 3 zenith,# 4 azimuth,# 5 Area(25 micro V/m) ,# 6 x_max(25),# 7 y_max(25),# 8 Area(50 micro V/m),# 9 x_max(50) ,# 10 y_max(50),# 11 Area(75 microV/m),# 12 x_max(75),# 13 y_max(75),# 14 Area(100microV/m),# 15 x_max(100) ,# 16 y_max(100),# 17 Area(200 micro/V),# 18 x_max(200),# 19 y_max(200)
# 1 EeV,# 2 g/cm,# 3 deg,# 4 deg,# 5 m^2,# 6 m ,# 7 m,# 8 m^2,# 9 m,# m,# 11 m^2,# m,# 13 m,# 14 m^2,# 15m ,# 16 m,# 17 m^2,# 18 m,# m
1.5849000000000002,729.58,71.61,270.0,10658285.2554,705.1599731445312,4811.16015625,8873843.1726,587.0999755859375,4811.16015625,8873843.1726,587.0999755859375,4811.16015625,8873843.1726,587.0999755859375,4811.16015625,8873843.1726,587.0999755859375,4811.16015625
1.5849000000000002,732.62,71.61,270.0,4574538.6613,703.780029296875,2069.0,3808583.7659,585.9400024414062,2069.0,3555218.1181,585.9400024414062,1931.3599853515625,3555218.1181,585.9400024414062,1931.3599853515625,3555218.1181,585.9400024414062,1931.3599853515625
1.5849000000000002,699.79,71.61,270.0,4726187.2249,715.0900268554688,2103.780029296875,3670261.8831,595.4600219726562,1961.97998046875,3670261.8831,595.4600219726562,1961.97998046875,3670261.8831,595.4600219726562,1961.97998046875,3317000.3129,595.4600219726562,1773.1400146484375
1.5849000000000002,678.62,71.61,270.0,4824123.4645,679.4299926757812,2260.080078125,4121260.6337,657.8300170898438,1994.18994140625,3542506.1415,565.4500122070312,1994.18994140625,3313792.89,565.4500122070312,1865.43994140625,3313792.89,565.4500122070312,1865.43994140625
1.5849000000000002,711.46,71.61,270.0,5037510.0575,694.530029296875,2308.739990234375,4452360.1019,694.530029296875,2040.56005859375,3706293.4546,578.1500244140625,2040.56005859375,3462453.5861,578.1500244140625,1906.31005859375,3462453.5861,578.1500244140625,1906.31005859375
1.5849000000000002,874.62,71.61,270.0,4499764.8206,655.8300170898438,2183.97998046875,3974437.2468,655.8300170898438,1929.010009765625,3293938.2057,545.5900268554688,1921.760009765625,3087912.8906,545.5900268554688,1801.56005859375,3087912.8906,545.5900268554688,1801.56005859375
1.5849000000000002,787.57,71.61,270.0,5887637.3445,681.9000244140625,2748.340087890625,4900061.5063,567.52001953125,2748.340087890625,4900061.5063,567.52001953125,2748.340087890625,4900061.5063,567.52001953125,2748.340087890625,3337834.0489,567.52001953125,1872.1199951171875
1.5849000000000002,711.76,71.61,0.0,4018029.0542,2137.330078125,598.4000244140625,3764088.0817,2002.25,598.4000244140625,3764088.0817,2002.25,598.4000244140625,3764088.0817,2002.25,598.4000244140625,2777499.4644,1801.8699951171875,490.6600036621094
1.5849000000000002,752.47,71.61,0.0,5110960.1578,2347.7099609375,692.9600219726562,4492409.9387,2063.580078125,692.9600219726562,3749012.2985,2063.580078125,578.2899780273438,3519320.3029,1937.1500244140625,578.2899780273438,3519320.3029,1937.1500244140625,578.2899780273438
1.5849000000000002,874.97,71.61,270.0,4571493.5132,661.1199951171875,2201.0400390625,3895139.1603,639.760009765625,1938.010009765625,3348945.2527,550.0499877929688,1938.010009765625,3164235.7799,550.0499877929688,1831.1199951171875,3164235.7799,550.0499877929688,1831.1199951171875
1.5849000000000002,746.63,71.61,180.0,5256674.021,2380.260009765625,702.969970703125,3860600.6699,2094.469970703125,586.719970703125,3620980.1005,1964.469970703125,586.719970703125,3620980.1005,1964.469970703125,586.719970703125,3620980.1005,1964.469970703125,586.719970703125
1.5849000000000002,785.94,71.61,0.0,3949664.0221,2118.81005859375,593.3599853515625,3701981.4517,1985.93994140625,593.3599853515625,3701981.4517,1985.93994140625,593.3599853515625,3701981.4517,1985.93994140625,593.3599853515625,3329665.7197,1786.2099609375,593.3599853515625
1.5849000000000002,816.09,71.61,0.0,4907264.2798,2301.469970703125,678.7100219726562,4306231.1589,2019.5899658203125,678.7100219726562,3592956.4459,2019.5899658203125,566.2899780273438,3592956.4459,2019.5899658203125,566.2899780273438,3377210.7224,1898.3199462890625,566.2899780273438
1.5849000000000002,866.95,71.61,270.0,4577293.046,661.5499877929688,2202.39990234375,4030487.2054,661.5499877929688,1939.300048828125,3629540.4017,595.739990234375,1939.300048828125,3400684.4766,595.739990234375,1817.02001953125,3400684.4766,595.739990234375,1817.02001953125
1.5849000000000002,749.55,71.61,0.0,5214486.2477,2370.8701171875,700.0900268554688,3951327.6818,2152.570068359375,584.2999877929688,3951327.6818,2152.570068359375,584.2999877929688,3951327.6818,2152.570068359375,584.2999877929688,3951327.6818,2152.570068359375,584.2999877929688
1.5849000000000002,760.17,71.61,0.0,3875178.1385,2098.47998046875,587.8099975585938,3634152.0953,1967.9599609375,587.8099975585938,3634152.0953,1967.9599609375,587.8099975585938,3634152.0953,1967.9599609375,587.8099975585938,2678082.6991,1769.030029296875,481.8800048828125
1.5849000000000002,783.02,71.61,270.0,5051726.3427,695.52001953125,2311.9599609375,4325304.0529,673.7100219726562,2043.5899658203125,3472316.8544,578.97998046875,1909.0,3472316.8544,578.97998046875,1909.0,3472316.8544,578.97998046875,1909.0
1.5849000000000002,724.92,71.61,270.0,4659249.5391,710.1300048828125,2088.469970703125,3879460.3594,591.280029296875,2088.469970703125,3619531.9762,591.280029296875,1948.5400390625,3619531.9762,591.280029296875,1948.5400390625,3619531.9762,591.280029296875,1948.5400390625
